mut_type,mut_class,host,segment,actual_count,evo_opp,rate
CA,nonsense,human,PB2,0,1951.55248133509,0.0
CA,nonsense,swine,HA,0,285.0583038869258,0.0
CA,nonsense,swine,MP,0,115.83758937691522,0.0
CA,nonsense,swine,NA,0,283.38262588880644,0.0
CA,nonsense,swine,NP,0,122.72824631860776,0.0
CA,nonsense,swine,NS,0,85.05508982035929,0.0
CA,nonsense,swine,PA,0,127.63826815642459,0.0
CA,nonsense,swine,PB1,0,132.55438132981067,0.0
CA,nonsense,swine,PB2,0,143.47913921826967,0.0
CA,nonsynonymous,all,HA,9886,26854.31160152908,0.3681345530911726
CA,nonsynonymous,all,MP,1251,7853.057201225741,0.1593010171637026
CA,nonsynonymous,all,NA,3937,15145.668965399807,0.2599422982896334
CA,nonsynonymous,all,NP,1803,18225.621151271753,0.09892666949648461
CA,nonsynonymous,all,NS,3997,5386.421556886227,0.7420510923230781
CA,nonsynonymous,all,PA,4864,21690.46322160149,0.22424601772247776
CA,nonsynonymous,all,PB1,2827,21887.60501981506,0.12915985999567745
CA,nonsynonymous,all,PB2,4065,25406.163812033377,0.16000054278460776
CA,nonsynonymous,avian,HA,1286,4915.824105409844,0.26160415271668536
CA,nonsynonymous,avian,MP,289,2711.7834525025537,0.1065719313735387
CA,nonsynonymous,avian,NA,721,3059.224227995739,0.23568066485677827
CA,nonsynonymous,avian,NP,526,5603.065595716198,0.09387718044960089
CA,nonsynonymous,avian,NS,1152,1874.2011976047904,0.6146618631298731
CA,nonsynonymous,avian,PA,1217,5481.625232774674,0.22201444796399958
CA,nonsynonymous,avian,PB1,890,6319.31880228974,0.1408379649524119
CA,nonsynonymous,avian,PB2,938,5936.182696530523,0.15801400461414808
CA,nonsynonymous,human,HA,7565,19412.842175046746,0.3896904910566906
CA,nonsynonymous,human,MP,798,3814.273748723187,0.20921413945895398
CA,nonsynonymous,human,NA,2765,10125.255182070254,0.27307953728378587
CA,nonsynonymous,human,NP,1092,10404.258366800535,0.10495702447033774
CA,nonsynonymous,human,NS,2160,2594.791616766467,0.8324367883890853
CA,nonsynonymous,human,PA,3260,14213.927839851025,0.2293525080984348
CA,nonsynonymous,human,PB1,1701,13558.988551298988,0.1254518354053068
CA,nonsynonymous,human,PB2,2821,17262.727272727272,0.1634156616988783
CA,nonsynonymous,swine,HA,757,1851.2343934040048,0.40891634397956855
CA,nonsynonymous,swine,MP,123,913.4708886618998,0.13465125328753155
CA,nonsynonymous,swine,NA,315,1494.9988039663233,0.21070250970387783
CA,nonsynonymous,swine,NP,97,1449.4611780455155,0.06692141981394553
CA,nonsynonymous,swine,NS,445,629.097005988024,0.7073630867168225
CA,nonsynonymous,swine,PA,237,1233.5297951582868,0.1921315568786793
CA,nonsynonymous,swine,PB1,116,1206.7833553500661,0.09612330124187907
CA,nonsynonymous,swine,PB2,171,1415.6991655687307,0.12078837380066121
CA,synonymous,all,HA,6714,5254.51415133913,1.2777584771160841
CA,synonymous,all,MP,2258,1648.3524004085803,1.3698527083409502
CA,synonymous,all,NA,5164,4083.9274561876273,1.2644690816375634
CA,synonymous,all,NP,6814,5167.211512717537,1.3186996474267385
CA,synonymous,all,NS,1946,1042.3952095808384,1.866854319852941
CA,synonymous,all,PA,6815,5106.4459962756055,1.3345876966035735
CA,synonymous,all,PB1,5650,4535.213121972699,1.2458069440278912
CA,synonymous,all,PB2,7992,6205.874396135266,1.287812077694813
CA,synonymous,avian,HA,1113,1052.2111284313655,1.0577725039453427
CA,synonymous,avian,MP,816,618.9080694586313,1.318451059644073
CA,synonymous,avian,NA,880,744.877391012899,1.18140248397573
CA,synonymous,avian,NP,1722,1521.4846050870146,1.1317893025289716
CA,synonymous,avian,NS,543,324.2083832335329,1.6748487333495867
CA,synonymous,avian,PA,1755,1352.3896648044692,1.2977029074336655
CA,synonymous,avian,PB1,1588,1370.1087626596213,1.1590320734227066
CA,synonymous,avian,PB2,1754,1502.8599033816424,1.1671081223560877
CA,synonymous,human,HA,4954,3695.3982728230394,1.3405862194700524
CA,synonymous,human,MP,1081,749.2819203268641,1.4427146454146769
CA,synonymous,human,NA,3649,2824.9414917367258,1.2917081683545442
CA,synonymous,human,NP,4327,3032.458500669344,1.4268950421068964
CA,synonymous,human,NS,1077,545.0347305389222,1.9760208655603992
CA,synonymous,human,PA,4387,3268.130819366853,1.3423575255931492
CA,synonymous,human,PB1,3532,2732.33201232937,1.292668674254157
CA,synonymous,human,PB2,5585,4175.510320597277,1.3375610574951484
CA,synonymous,swine,HA,491,365.1378091872792,1.3446977761433796
CA,synonymous,swine,MP,261,189.5566905005107,1.3768967969996122
CA,synonymous,swine,NA,519,400.9828109296187,1.294319820834155
CA,synonymous,swine,NP,539,408.61178045515396,1.3191004904450043
CA,synonymous,swine,NS,231,121.78443113772455,1.8967941783852886
CA,synonymous,swine,PA,420,296.78538175046555,1.4151640405022785
CA,synonymous,swine,PB1,295,249.43505063848525,1.182672600522184
CA,synonymous,swine,PB2,426,331.501976284585,1.285060212233218
CG,nonsense,all,HA,1,3130.442006040957,0.00031944370733278375
CG,nonsense,all,MP,0,539.4136874361593,0.0
CG,nonsense,all,NA,0,1636.2805302351494,0.0
CG,nonsense,all,NP,0,1153.4170013386881,0.0
CG,nonsense,all,NS,0,567.1173652694611,0.0
CG,nonsense,all,PA,0,1534.177374301676,0.0
CG,nonsense,all,PB1,6,1829.7604579480405,0.003279117752237698
CG,nonsense,all,PB2,0,2062.7918313570485,0.0
CG,nonsense,avian,HA,1,519.359105101753,0.0019254500213375092
CG,nonsense,avian,MP,0,212.55158324821247,0.0
CG,nonsense,avian,NA,0,346.2200309013784,0.0
CG,nonsense,avian,NP,0,310.15194109772426,0.0
CG,nonsense,avian,NS,0,188.35449101796408,0.0
CG,nonsense,avian,PA,0,323.4189944134078,0.0
CG,nonsense,avian,PB1,0,536.7573756054601,0.0
CG,nonsense,avian,PB2,0,417.45410628019323,0.0
CG,nonsense,human,HA,0,2311.9659808379133,0.0
CG,nonsense,human,MP,0,218.59856996935648,0.0
CG,nonsense,human,NA,0,1071.1749515077124,0.0
CG,nonsense,human,NP,0,715.6680053547524,0.0
CG,nonsense,human,NS,0,285.4994011976048,0.0
CG,nonsense,human,PA,0,1097.5330540037244,0.0
CG,nonsense,human,PB1,6,1124.6028181417878,0.005335216934556473
CG,nonsense,human,PB2,0,1479.119016249451,0.0
CG,nonsense,swine,HA,0,232.45288574793875,0.0
CG,nonsense,swine,MP,0,76.414708886619,0.0
CG,nonsense,swine,NA,0,165.51777612879593,0.0
CG,nonsense,swine,NP,0,86.55488621151272,0.0
CG,nonsense,swine,NS,0,64.42754491017965,0.0
CG,nonsense,swine,PA,0,68.0693668528864,0.0
CG,nonsense,swine,PB1,0,101.77190664905328,0.0
CG,nonsense,swine,PB2,0,110.1282389108476,0.0
CG,nonsynonymous,all,HA,805,29125.061612578887,0.02763942650862331
CG,nonsynonymous,all,MP,118,8338.098059244126,0.014151908404240698
CG,nonsynonymous,all,NA,379,17053.88964703466,0.022223669077505774
CG,nonsynonymous,all,NP,281,20617.11111111111,0.013629455576274293
CG,nonsynonymous,all,NS,231,6058.699401197605,0.03812699470687371
CG,nonsynonymous,all,PA,424,23785.815176908753,0.017825750214843124
CG,nonsynonymous,all,PB1,317,23555.144870101278,0.013457781803005189
CG,nonsynonymous,all,PB2,365,27407.21212121212,0.013317662460002787
CG,nonsynonymous,avian,HA,218,5288.721534685143,0.04121979169640255
CG,nonsynonymous,avian,MP,37,2888.3840653728294,0.01280993079956771
CG,nonsynonymous,avian,NA,121,3462.1350548303044,0.03494953203260604
CG,nonsynonymous,avian,NP,101,6283.2336010709505,0.016074525700076624
CG,nonsynonymous,avian,NS,78,2067.5952095808384,0.03772498583792563
CG,nonsynonymous,avian,PA,120,6101.585661080075,0.01966701881536121
CG,nonsynonymous,avian,PB1,113,6821.680317040951,0.016564833699069637
CG,nonsynonymous,avian,PB2,107,6455.633289415898,0.016574671330143245
CG,nonsynonymous,human,HA,489,21126.745351289126,0.023146016666034264
CG,nonsynonymous,human,MP,61,4031.126659856997,0.015132245932000549
CG,nonsynonymous,human,NA,197,11371.791997775188,0.017323566948686864
CG,nonsynonymous,human,NP,150,11850.065595716198,0.012658157778824874
CG,nonsynonymous,human,NS,99,2968.4071856287424,0.033351219630278144
CG,nonsynonymous,human,PA,244,15462.824487895718,0.01577978203083162
CG,nonsynonymous,human,PB1,170,14569.782034346103,0.011667985121482956
CG,nonsynonymous,human,PB2,220,18570.468599033815,0.011846766215228741
CG,nonsynonymous,swine,HA,73,1978.3486454652532,0.03689946166330678
CG,nonsynonymous,swine,MP,12,976.5056179775281,0.012288715783175506
CG,nonsynonymous,swine,NA,44,1691.4728998180901,0.026012831777991827
CG,nonsynonymous,swine,NP,16,1624.9270414993307,0.009846595934077567
CG,nonsynonymous,swine,NS,34,702.488622754491,0.048399360357872276
CG,nonsynonymous,swine,PA,32,1373.874767225326,0.023291788133373407
CG,nonsynonymous,swine,PB1,18,1291.905768383972,0.013932904736942205
CG,nonsynonymous,swine,PB2,25,1523.660957400088,0.01640784971130255
CG,synonymous,all,HA,194,3754.171711748702,0.05167584620407103
CG,synonymous,all,MP,67,1476.785495403473,0.045368809626407464
CG,synonymous,all,NA,240,3258.3887296573384,0.07365603674465174
CG,synonymous,all,NP,108,3297.368808567604,0.03275338801027715
CG,synonymous,all,NS,67,609.9640718562874,0.10984253514489908
CG,synonymous,all,PA,173,3870.362662942272,0.044698653605883126
CG,synonymous,all,PB1,187,3408.6442095992957,0.05486052180904585
CG,synonymous,all,PB2,229,4877.187088274045,0.0469532941540365
CG,synonymous,avian,HA,69,822.349950261048,0.08390588456665747
CG,synonymous,avian,MP,22,544.4259448416752,0.04040953633537401
CG,synonymous,avian,NA,43,586.2915063746304,0.07334235535133904
CG,synonymous,avian,NP,32,993.3420348058902,0.032214482905933955
CG,synonymous,avian,NS,17,194.19161676646706,0.08754239901325933
CG,synonymous,avian,PA,54,1005.1554934823091,0.05372303126247641
CG,synonymous,avian,PB1,36,1023.1268163804491,0.03518625396542575
CG,synonymous,avian,PB2,59,1132.2011418533157,0.052110881908688136
CG,synonymous,human,HA,92,2535.1452950624835,0.03628983324118805
CG,synonymous,human,MP,30,687.9673135852911,0.043606722888704125
CG,synonymous,human,NA,152,2263.4889237807793,0.06715296832383409
CG,synonymous,human,NP,57,1899.7402945113788,0.030004101173555748
CG,synonymous,human,NS,42,316.1688622754491,0.1328404059075534
CG,synonymous,human,PA,100,2510.2811918063317,0.03983617465900011
CG,synonymous,human,PB1,131,2056.776750330251,0.0636918907115056
CG,synonymous,human,PB2,145,3340.2024593763726,0.043410542254097975
CG,synonymous,swine,HA,25,290.6289752650177,0.0860203287617936
CG,synonymous,swine,MP,9,165.94484167517876,0.05423488858796011
CG,synonymous,swine,NA,37,322.3735648378623,0.11477367884866471
CG,synonymous,swine,NP,16,269.3192771084337,0.059409041089762235
CG,synonymous,swine,NS,6,69.02035928143712,0.08693087173792338
